bhk,size,floor,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,rent
2,800,1 out of 1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.77971129020447
2,950,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,12.100717685412471
2,650,3 out of 7,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,10.714439990727769
1,600,3 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,9.392745258631441
1,450,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.412054873292933
1,500,1 out of 1,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,8.987321812850125
3,2400,3 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,11.461642696843066
1,575,14 out of 14,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,9.99884318585288
2,1050,4 out of 4,Super Area,Chennai,Semi-Furnished,Family,2,Contact Agent,9.99884318585288
2,980,17 out of 19,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,10.12667110305036
4,1454,5 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent,11.51293546492023
3,1080,5 out of 8,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,11.51293546492023
2,475,8 out of 12,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,10.373522431293592
3,1425,9 out of 35,Carpet Area,Mumbai,Furnished,Bachelors,4,Contact Agent,12.25486757159303
2,1010,1 out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.15915233520675
3,1450,Ground out of 4,Carpet Area,Delhi,Furnished,Bachelors,2,Contact Agent,10.915106645867503
3,1450,18 out of 33,Carpet Area,Mumbai,Furnished,Family,3,Contact Agent,11.849404844423074
1,300,Ground out of 1,Carpet Area,Kolkata,Furnished,Bachelors,1,Contact Agent,8.987321812850125
1,430,4 out of 5,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.741027444837728
2,650,15 out of 24,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,10.968215530759236
1,450,2 out of 4,Super Area,Mumbai,Unfurnished,Family,1,Contact Owner,9.61587214452889
3,850,5 out of 7,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent,10.714439990727769
4,2100,21 out of 33,Carpet Area,Mumbai,Furnished,Family,5,Contact Agent,12.345838935721968
2,1200,1 out of 4,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Agent,10.491301994830229
3,1300,12 out of 24,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent,11.51293546492023
2,850,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,9.581972891547895
2,1150,2 out of 4,Carpet Area,Bangalore,Furnished,Family,2,Contact Agent,9.90353755128617
2,900,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.392745258631441
1,400,2 out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.210440366976517
2,800,1 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,9.680406499268875
2,1100,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.680406499268875
1,550,3 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,9.305741456739435
1,500,Ground out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.699681400989514
4,1500,5 out of 15,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,12.577639650232573
2,1050,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.90353755128617
4,1432,12 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,11.775297421715827
2,800,3 out of 7,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,10.896757843893464
1,500,3 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent,9.210440366976517
1,500,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.987321812850125
1,300,1 out of 3,Carpet Area,Delhi,Furnished,Bachelors,1,Contact Owner,8.517393171418904
1,400,3 out of 4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.90353755128617
3,1000,1 out of 3,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,9.680406499268875
1,25,4 out of 6,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.699681400989514
3,950,6 out of 7,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,11.034905792929415
2,1100,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,10.308985993422082
1,478,4 out of 11,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,10.373522431293592
1,600,2 out of 4,Super Area,Delhi,Furnished,Bachelors/Family,1,Contact Owner,9.392745258631441
2,1025,2 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,10.308985993422082
2,650,5 out of 7,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,10.463131911491967
3,937,28 out of 39,Carpet Area,Mumbai,Unfurnished,Family,4,Contact Agent,11.849404844423074
2,1050,1 out of 3,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.392745258631441
2,950,1 out of 1,Carpet Area,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,9.680406499268875
3,1325,15 out of 36,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,Contact Agent,10.950824090522445
2,750,7 out of 10,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent,11.461642696843066
2,1050,1 out of 5,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,10.12667110305036
3,1092,60 out of 77,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent,11.918397239722838
3,2500,4 out of 8,Carpet Area,Bangalore,Unfurnished,Bachelors,3,Contact Agent,12.100717685412471
1,500,3 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,9.210440366976517
3,2000,3 out of 6,Super Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,11.082157933374816
3,1500,2 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Owner,10.491301994830229
1,450,2 out of 4,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.699681400989514
1,435,9 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,10.043292972227004
3,1500,2 out of 4,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Agent,11.184435286790631
3,950,5 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,10.645448706505872
2,1250,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent,9.680406499268875
3,1200,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,10.518700218288165
3,1100,9 out of 20,Carpet Area,Mumbai,Furnished,Bachelors,3,Contact Agent,11.326607934898927
1,270,1 out of 4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,10.203629181337648
3,1300,1 out of 4,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,9.90353755128617
2,800,Ground out of 2,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,9.61587214452889
1,415,15 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,10.596659732783579
2,2300,Ground out of 3,Carpet Area,Chennai,Furnished,Bachelors,2,Contact Owner,10.239995502805316
2,650,2 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,10.203629181337648
1,320,5 out of 7,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Agent,9.798182590890704
2,550,1 out of 1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.699681400989514
1,385,11 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,9.798182590890704
1,400,2 out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.77971129020447
3,773,2 out of 12,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,9.90353755128617
2,750,8 out of 14,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,10.915106645867503
1,450,2 out of 7,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,10.463131911491967
1,415,3 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,9.210440366976517
3,1430,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,10.085850775128717
1,300,Ground out of 2,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8.987321812850125
1,450,4 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,9.305741456739435
1,375,9 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,9.741027444837728
4,2800,Ground out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Agent,11.849404844423074
1,600,3 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.987321812850125
2,1000,2 out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.99884318585288
2,890,45 out of 77,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,11.775297421715827
2,900,Ground out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,10.463131911491967
3,1100,3 out of 5,Super Area,Bangalore,Unfurnished,Family,3,Contact Owner,9.510519035757246
3,1290,4 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner,10.12667110305036
2,700,Ground out of 1,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.472781556562168
2,700,2 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,9.546884034617925
3,1100,17 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,11.097425172408931
2,680,5 out of 20,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,10.373522431293592
1,600,1 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,1,Contact Owner,9.04793908261736
3,1105,15 out of 19,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,11.082157933374816
2,720,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9.04793908261736
2,530,2 out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.305741456739435
2,84,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,9.913487387114461
3,2400,1 out of 3,Super Area,Hyderabad,Furnished,Bachelors/Family,3,Contact Agent,10.757924157061597
1,700,Ground out of 4,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,9.798182590890704
3,890,11 out of 19,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,11.127277689932466
2,750,8 out of 16,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,10.819798284210286
1,240,Ground out of 4,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,8.853808274977197
3,1300,Ground out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,10.12667110305036
2,750,15 out of 18,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,11.289794413577894
1,225,18 out of 24,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,9.798182590890704
3,1200,Ground out of 4,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,9.392745258631441
2,1000,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,9.90353755128617
2,630,11 out of 22,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,11.002116507732017
3,1400,12 out of 13,Carpet Area,Chennai,Semi-Furnished,Family,3,Contact Owner,9.90353755128617
1,200,3 out of 3,Super Area,Delhi,Furnished,Bachelors/Family,1,Contact Owner,9.433563920090563
3,2100,2 out of 4,Carpet Area,Chennai,Unfurnished,Bachelors,3,Contact Agent,11.407576060361786
1,450,1 out of 3,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,9.15915233520675
4,2550,3 out of 4,Carpet Area,Chennai,Semi-Furnished,Bachelors,4,Contact Agent,11.695255355062795
2,750,4 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,9.392745258631441
1,350,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent,8.853808274977197
3,1535,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,3,Contact Agent,10.389026137075234
3,1700,2 out of 12,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,10.12667110305036
2,900,Ground out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.987321812850125
2,600,Ground out of 1,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,9.392745258631441
3,2210,4 out of 5,Super Area,Hyderabad,Semi-Furnished,Family,3,Contact Owner,10.12667110305036
2,674,Ground out of 3,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,9.61587214452889
2,1000,1 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,9.105090961257085
2,800,1 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.15915233520675
